offline_result,online_result,empirical_ratio
9.996987362436581,6.731698845551874,1.4850615857603795
9.993842085014782,6.976225017632324,1.432557301370794
9.99388707146724,6.400195013695209,1.5614972747052565
9.997688601210122,7.233170155845078,1.3822001122330925
9.99421594201254,8.105769180377305,1.232975639894465
9.99621760682367,7.631352427590274,1.3098880836224387
9.992433364995163,8.140910810722877,1.227434324895629
9.996655502782309,8.013557351476639,1.2474678927630374
9.995653397256705,7.464063224221151,1.3391705157079128
9.992707811513773,7.437557110129643,1.3435470361503672
9.996600127298496,6.748413599250225,1.48132594131592
9.995937484203541,7.118498051521218,1.404220021113501
9.99432604429035,7.479921131601207,1.3361539337716106
9.997040404443393,7.4562041681939535,1.3407680609240724
9.996411060636163,6.177982868284001,1.618070375681176
9.99255589542857,6.3053697774215385,1.5847692123006363
9.992186933460228,7.2282789900565225,1.3823742757032256
9.995922443882707,7.026758693580326,1.4225509768842668
9.994475486565113,5.840133236428232,1.7113437454172937
9.992958730569232,7.3768670682479796,1.3546345132856759
9.995543635058098,7.128898798591332,1.4021160795596108
9.995594607869887,6.871320834012159,1.4546831459816245
9.989600092549523,7.832056007996387,1.2754760796335372
9.996152834578997,6.876856312877829,1.453593383339982
9.994233800510294,7.383293940274298,1.3536280529201032
9.995931851708278,7.031910694473414,1.421510068318185
9.995534301148723,6.107370892416936,1.6366345645651597
9.996310529904733,7.32571918094429,1.3645500575434564
9.995578808896678,7.124136313632515,1.4030583314035505
9.99516509699006,7.264443448766552,1.3759023891482236
9.99474431400157,6.575131683256868,1.520082759627844
9.992211595046442,7.459014005129808,1.33961560980774
