offline_result,online_result,empirical_ratio
96366.33081797056,72245.61976802658,1.3338709132455804
96337.9502081585,72100.59055461976,1.336160348578251
96362.22474775302,72206.03607474794,1.3345452816160481
96365.06122407698,72218.89036468038,1.3343470210836361
96380.83154375119,72161.09811195143,1.3356342138006967
96355.8189570925,72184.31299806258,1.3348581562268063
96374.65606372287,72103.96918436549,1.3366068075572748
96353.96573863004,72179.12273572043,1.3349284680478086
96351.4532635567,72015.35916943938,1.3379292191941832
96373.207867487,72237.82840006685,1.3341099809057635
96361.98701547287,72243.88412306191,1.3338428323057439
96337.96168582008,72266.425470857,1.3330943250357727
96376.49760094396,72215.0412004308,1.3345765092545432
96371.45657041782,72277.91065060529,1.3333459102917602
96362.83634745934,72237.9493508022,1.3339641727577534
96340.71263460285,72121.94889575981,1.3358029574858994
96353.08835530863,72157.15408149087,1.3353227352410826
96355.91749628591,72224.62962419106,1.3341143872617696
96356.23418942242,72211.05867425671,1.3343694990553225
96327.02270766936,72118.73173326704,1.3356727218101574
96346.64272250333,72178.65562428712,1.3348356503620444
96346.60876210446,72254.66441928856,1.333430990738703
96376.99989386153,72115.63487590701,1.3364230941002222
96379.78954740021,72202.31250193203,1.3348573779381545
96355.7455201589,72129.5412453143,1.3358707660769766
96362.72147801476,72222.10428190188,1.334255245483927
96352.58178489885,72143.92346499136,1.3355606010484724
96356.90781129629,72135.37362632249,1.3357788691917896
96359.94923600175,72171.49013023102,1.3351525520967278
96352.09969574898,72256.18691834956,1.3334788867924643
96355.35497989498,72176.26205876819,1.3350006252947737
96356.8931970795,72161.25713655964,1.3352995363527478
