offline_result,online_result,empirical_ratio
9.998987050313008,7.426305057283829,1.3464282672452104
9.998725597055138,6.19128995658972,1.6149664556435386
9.999075319027716,7.202386474499737,1.3883003021886897
9.999341768779912,6.4546842419551895,1.549160484688715
9.99909791343256,7.955820521163123,1.2568279898766135
9.998885250965797,6.3695823828500755,1.5697866280664678
9.999084366822109,7.334309345126748,1.363330055537671
9.999155658371993,6.756173021421941,1.4800028990772525
9.998880459911529,7.397567783217293,1.35164431782508
9.999335694680356,6.905266879985273,1.4480737484112536
9.999341180788937,7.530533878880439,1.3278396115888047
9.998918163107547,7.183940194465752,1.3918431797094235
9.998929804746014,7.057791647038626,1.4167221568437003
9.99878733284979,7.748056515705319,1.2904897263697337
9.999084088440892,8.18642403051996,1.221422693371748
9.998962021656626,7.453214905757715,1.34156362698361
9.998880078457928,7.083600098911287,1.411553438765509
9.999030979142981,7.224048122238572,1.3841312806820705
9.998869506468278,8.07757202123856,1.237855816101423
9.999313251488594,6.131514058445352,1.6308065440567423
9.999253758512516,7.191868323031584,1.3903555111667474
9.999025812932715,6.420881228584655,1.5572669010631714
9.998532884422593,6.566451367876271,1.5226691441493658
9.999122239566306,7.57914250874377,1.3192946600529938
9.999291865327953,7.815812746854755,1.2793668667857832
9.99924856619004,6.7653308837975175,1.4780132321594976
9.999191880728056,7.309437812460917,1.3679837132866393
9.999135206310271,7.084147601369855,1.4114803599485628
9.999356438830123,6.766800731039459,1.477708127706918
9.999268979501782,6.62227257874684,1.5099452432074283
9.999085362550211,8.231686259886017,1.2147068105932244
9.99879723035328,6.106834703461076,1.6373125712222758
